ID,CENTER,FY,SIC,NAICS,STATE,ANNUAL_SALES,EMPLOYEES,PLANT_AREA,ANNUAL_ELECTRICITY_COST,TOTAL_RECC_IMP_COST,TOTAL_RECC_SAVINGS,ROI_YRS,PRODUCTS,PRODUNITS,PRODLEVEL,PRODHOURS,NUMARS,num_reccs,ARC2,IMPSTATUS
SD0298,SD,2002,2674.0,,CA,,95.0,100000.0,363275.0,21280.0,44740.0,0.47563701385784535,Paper bags,3.0,33175.0,6600.0,8,8,"2.4236,2.6212,2.7226,2.4146,2.1221,2.7111,3.6193,2.8123","I,N,N,N,I,N,I,N"
SD0299,SD,2002,2514.0,,CA,15000000.0,200.0,97000.0,138793.0,157876.0,231732.0,0.681287003952842,Wrought iron furniture,1.0,100000.0,4125.0,16,16,"2.7145,2.7142,2.6221,2.6218,2.4231,2.7135,3.6192,3.7134,3.6193,3.5217,3.5311,3.1192,3.2176,4.211,3.2176,3.2176","N,N,N,N,N,N,I,N,I,I,N,N,N,N,N,N"
SD0300,SD,2002,3354.0,,CA,18000000.0,87.0,40.0,141681.0,77820.0,107602.0,0.7232207579784763,Aluminum heat sinks,1.0,100000.0,6732.0,10,10,"2.4236,2.4239,2.7134,2.4146,2.4231,3.6193,2.2628,3.2176,3.2176,2.8123","I,N,N,N,N,I,N,N,N,N"
SD0301,SD,2002,3061.0,,CA,11000000.0,120.0,32000.0,273532.0,119520.0,100471.0,1.1895969981387664,Aerospace teflon parts,1.0,1500000.0,4250.0,8,8,"2.1311,2.4236,2.7212,2.7135,2.2511,3.1191,3.6193,3.2176","N,N,N,N,N,N,N,N"
SD0302,SD,2002,3494.0,,CA,,250.0,95028.0,372230.0,64800.0,42382.0,1.5289509697513095,Valves,,,6000.0,8,8,"2.4146,2.7145,2.1311,2.4231,2.7135,3.6193,3.3125,2.8123","N,N,N,N,N,N,N,I"
SD0303,SD,2002,2452.0,,CA,50000000.0,460.0,200000.0,212478.0,65950.0,51990.0,1.2685131756106944,Manufactured homes,1.0,1200.0,2125.0,7,7,"2.7111,2.4236,2.4146,2.7142,4.611,2.7135,3.5315","N,N,N,N,I,N,N"
SD0304,SD,2002,3085.0,,CA,,160.0,500000.0,5767972.0,961970.0,762789.0,1.2611220140825314,Plastic PET bottles,1.0,28000000.0,8736.0,10,10,"2.4146,2.1311,2.4146,2.4146,2.7134,2.7111,2.2511,2.7135,3.6193,3.6193","N,N,N,N,N,N,N,N,N,N"
SD0305,SD,2002,3672.0,,CA,30000000.0,120.0,37000.0,0.0,37468.0,25027.0,1.4971031286210892,microelectronics,1.0,5500000.0,4812.0,6,6,"2.7142,2.4146,2.4231,2.7135,3.6193,3.1191","N,N,N,I,N,N"
SD0306,SD,2002,3441.0,,CA,28000000.0,110.0,270000.0,119975.0,36062.0,19386.0,1.8602083978128547,rebar fabrication,3.0,60000.0,5000.0,6,6,"2.4146,2.4236,2.7226,2.7142,2.4231,3.6193","N,N,N,N,I,N"
SD0307,SD,2002,2022.0,,CA,10000000.0,14.0,22000.0,170558.0,503100.0,126506.0,3.9768864717878993,Cheese,2.0,4000000.0,5460.0,6,6,"2.3417,2.2437,2.2511,2.7135,2.7111,3.6193","N,N,N,N,N,N"
SD0308,SD,2002,2026.0,,CA,20000000.0,100.0,871000.0,567761.0,142500.0,273230.0,0.521538630457856,Milk and hay,5.0,12000.0,7200.0,6,6,"2.4146,2.7311,2.4146,2.7311,2.7134,3.2176","N,N,N,N,N,N"
SD0309,SD,2003,2086.0,312111.0,CA,35000000.0,95.0,79000.0,1498210.0,95887.0,86254.0,1.111681777077005,Soft Drinks,1.0,12000000.0,6000.0,10,10,"2.2449,2.4236,2.2511,2.2441,2.4146,2.7145,2.2449,3.6193,3.4111,4.652","N,I,N,N,N,N,I,I,N,I"
SD0310,SD,2003,3354.0,331318.0,CA,15000000.0,80.0,65000.0,778983.0,1201780.0,459816.0,2.613610661655967,Aluminum Extrusion,2.0,17000000.0,6000.0,11,11,"2.3414,2.4146,2.4146,2.7135,2.4236,2.4231,2.4239,2.4146,2.7133,3.3131,3.6193","N,N,N,N,I,I,N,N,I,N,N"
SD0311,SD,2003,3825.0,334513.0,CA,12000000.0,78.0,61000.0,105569.0,26000.0,47437.0,0.5480953685941354,Portable Process Instrumentation,1.0,60000.0,3000.0,5,5,"2.7491,2.7134,2.4231,3.6193,4.522","N,I,I,I,N"
